Catalog,CourseId,Title,Description,LongDescription,Categories,Tags,Skills
GSL Academy,7cba505f-5ae2-4a2a-aca0-688e155b4ee7,Introduction to Lean Construction,"This course delves into the principles and applications of Lean Construction, emphasizing efficiency, waste reduction, and collaboration. It explores strategies to enhance productivity, adopt innovative practices, and foster continuous improvement in the construction industry.","<p data-pm-slice=""1 1 []"">This course delves into the principles and applications of Lean Construction, emphasizing efficiency, waste reduction, and collaboration. It explores strategies to enhance productivity, adopt innovative practices, and foster continuous improvement in the construction industry.</p>
<ul>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Understand Lean principles</strong>. Focus on reducing waste and maximizing value in construction processes</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Emphasize collaboration</strong>. Effective teamwork among stakeholders is crucial for project success</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Adopt continuous improvement</strong>. Regularly assess and refine processes to enhance efficiency.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Leverage digital tools</strong>. Use technology to improve communication, planning, and project outcomes.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Recognize inefficiencies</strong>. Identify and address waste sources like idle time and rework.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Empower field personnel</strong>. Involve front-line workers in decision-making to boost engagement and reliability.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Focus on project flow</strong>. Prioritize overall throughput rather than isolated task speed for better results.</p>
</li>
</ul>
<p data-pm-slice=""1 1 []"">By embracing Lean principles and fostering collaboration, you can drive meaningful improvements in construction efficiency and project outcomes.</p>",,Efficiency; Lean Construction; Project Flow; Continuous Improvement; Collaboration; Lean; Lean Principles,
GSL Academy,5075c8f0-444f-473e-b84d-69f19583a9a9,Qualified Person - 2024 NFPA 70E Required Boundaries,"Covers NFPA 70E shock and arc flash protection boundaries, including limited, restricted, and arc flash approach requirements for qualified and unqualified persons.","<p>This course covers the 2024 NFPA 70E approach boundaries for shock and arc flash protection. Learn to identify limited, restricted, and arc flash boundaries using NFPA tables, understand the requirements for qualified and unqualified persons crossing each boundary, and apply proper barricade placement rules. Includes a 6-question knowledge check.</p>",,Qualified Person; NFPA 70E; Shock Protection Boundaries,
GSL Academy,7d2cbe66-c701-4c0e-9487-69f351cce407,Inclusive Leadership - Podcast,"Eleanor Hudgell and John Shepherd discuss how to lead inclusively, listen here.","Eleanor Hudgell and John Shepherd discuss how to lead inclusively, listen here.",,Inclusive Leadership,
GSL Academy,db1495b7-d829-4fc4-9f4e-69fe9017cae7,Cross-functional collaboration: Goodbye to working in silos!,"In this, you'll learn the keys to developing cross-functional collaboration skills, helping participants to establish strong interdepartmental relationships that improve communication and teamwork in the organisation. Also to foster a proactive and empathetic attitude in dealing with other teams, promoting flexibility and mutual respect, which facilitates problem solving and the achievement of common goals in a more effective and efficient way.","In this, you'll learn the keys to developing cross-functional collaboration skills, helping participants to establish strong interdepartmental relationships that improve communication and teamwork in the organisation. Also to foster a proactive and empathetic attitude in dealing with other teams, promoting flexibility and mutual respect, which facilitates problem solving and the achievement of common goals in a more effective and efficient way.",,,
GSL Academy,5e2f1a07-3173-448f-9a97-6ac664a95646,Field Leadership - Anatomy of a Project - 02 Jobsite Efficiency ,"From the course “Introduction to Field Leadership Section 2”.
This chapter explores strategies to improve job site efficiency and productivity, focusing on planning, task prioritization, and waste reduction.","<p><em>From the course “Introduction to Field Leadership Section 2”.</em></p>
<p><em><br></em>This chapter explores strategies to improve job site efficiency and productivity, focusing on planning, task prioritization, and waste reduction.</p>
<ol>
<li><b>Understand the difference. </b>Efficiency relates to resource use, while productivity measures tangible outcomes.</li>
<li><b>Eliminate wasteful tasks. </b>Reducing non-value activities enhances overall productivity.</li>
<li><b>Use the right tools. </b>Proper technology and equipment streamline workflows and reduce strain.</li>
<li><b>Plan effectively. </b>Task prioritization and resource management keep projects on track and within budget<b>.</b></li>
<li><b>Implement practical methods.</b> Strategies like the 30-30 rule minimize non-productive time and improve workflows.</li>
</ol>
<p>Apply these strategies to create a more efficient and productive work environment.</p>",Continuous Improvement,,
GSL Academy,27e760cc-9320-4fc3-8f84-6e2e27b56aae,Critical Leadership Training - 08 Leadership Law 3: Prioritize and Execute,"Learn the Prioritize and Execute leadership law, including detachment techniques, iterative decision-making, and managing multiple problems under pressure.","<p>Covers the Prioritize and Execute principle, teaching leaders to step back from emotions, identify the biggest problem, and solve it first. Introduces iterative decision-making through small decisions, feedback observation, and adjustment.</p>",,Focus; Detach from Emotions; Decision-Making; Laws of Leadership; Prioritize; Empower Your Team; Ego,
GSL Academy,6068f77f-7b3d-4e4b-93c4-6f215768b650,Safety Coordinator - 8.0 Disciplinary Action,Learn GSL's progressive disciplinary process for correcting unsafe behavior in a fair and consistent manner.,"<p>Covers the progressive disciplinary process for safety coordinators, focusing on corrective rather than punitive approach to unsafe behavior. Knowledge check.</p>",,Discipline; Safety Coordinator,
GSL Academy,827738bf-6356-4ef6-a834-71f138b6754c,Introduction to Lean Construction - 07 How Does Lean Apply to Construction?,"Explains how lean principles apply to construction, focusing on production flow, throughput vs. point speed, and waste elimination.","<p>Examines the practical application of lean principles in construction, contrasting traditional design-bid-build inefficiencies with lean approaches. Covers throughput vs. point speed, strategies for eliminating idle time, and improving overall project flow.</p>",Lean Fundamentals,Lean Theory Application; Throughput,
GSL Academy,ac174acb-bba5-4a13-a7eb-72c148e06856,Field Leadership - Anatomy of a Project - Manpower Projections,"From the course ""Introduction to Field Leadership - Section 2"".   This chapter highlights the critical role of accurate labor forecasting in effective project management. It provides techniques and strategies to ensure efficient resource allocation and timely project completion.","<p><em>From the course ""Introduction to Field Leadership - Section 2""</em>.  </p>
<p></p>
<p>This chapter highlights the critical role of accurate labor forecasting in effective project management. It provides techniques and strategies to ensure efficient resource allocation and timely project completion.</p>
<p></p>
<ol>
<li><b>Understand labor forecasting</b>. Accurate predictions are essential for project success.</li>
<li><b>Focus on resource allocation</b>. Proper planning ensures efficient use of manpower.</li>
<li><b>Maintain timelines</b>. Timely labor projections help keep projects on schedule.</li>
<li><b>Recognize your role</b>. As a foreman, labor forecasting is a key responsibility.</li>
<li><b>Utilize preplanning techniques</b>. Breaking projects into smaller segments aids in better analysis.</li>
<li><b>Implement resource loading and leveling</b>. These methods help create realistic schedules.</li>
<li><b>Adapt projections in real-time</b>. Update labor estimates based on actual progress.</li>
</ol>
<p>Mastering labor forecasting will empower you to manage projects more effectively and achieve successful outcomes.</p>",,,
GSL Academy,a0709b91-877c-4b87-9f99-73ef647869d8,Learn 365 Course Creation Test,Learn 365 Course Creation Test Short Description,"<p>Learn 365 Course Creation Test Long Description</p>
<p><a href=""https://gslelectric8540.sharepoint.com/sites/SafetyWebsite/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FSafetyWebsite%2FShared%20Documents%2FBloodborne%20Pathogens%20Program%2Epdf&amp;parent=%2Fsites%2FSafetyWebsite%2FShared%20Documents"">https://gslelectric8540.sharepoint.com/sites/SafetyWebsite/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FSafetyWebsite%2FShared%20Documents%2FBloodborne%20Pathogens%20Program%2Epdf&amp;parent=%2Fsites%2FSafetyWebsite%2FShared%20Documents</a><a href=""https://gslelectric8540.sharepoint.com/sites/SafetyWebsite/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FSafetyWebsite%2FShared%20Documents%2FBloodborne%20Pathogens%20Program%2Epdf&amp;parent=%2Fsites%2FSafetyWebsite%2FShared%20Documents"" title=""Bloodborne "">https://gslelectric8540.sharepoint.com/sites/SafetyWebsite/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FSafetyWebsite%2FShared%20Documents%2FBloodborne%20Pathogens%20Program%2Epdf&amp;parent=%2Fsites%2FSafetyWebsite%2FShared%20Documents</a></p>",,,
GSL Academy,f8c95054-bfdf-45a0-a141-759529d42cb6,Critical Leadership Training - 10 Conclusion: Leadership is the Most Important Skill,"Concludes the Critical Leadership series with key takeaways on humility, detachment, team focus, and continuous growth.","<p>Capstone chapter summarizing essential principles from the Critical Leadership Training series, emphasizing that leadership is a learnable skill built through humility, detachment, team focus, and relationship building. Interactive accordion format.</p>",,Leadership,
GSL Academy,832d915a-020f-4861-b458-769a0f1f22f3,Managing Subcontractors,"Learn a complete framework for managing subcontractors from qualification and contracts through day-to-day oversight, dispute resolution, and long-term partnerships.","<p>Eight-lesson course covering the full subcontractor lifecycle: expectations, SOWs, day-to-day management, safety/quality, resolving challenges, qualifying subcontractors, contracts, and long-term partnerships. Knowledge checks and 16-question final quiz.</p>",,,
GSL Academy,233ce967-35db-4abf-8957-7a21c16b1cd0,Values Driven Leadership -  01 Coach K Teaches Values-Driven Leadership,"Introduction to values-driven leadership through Coach K's philosophy of mutual respect, accountability, and team-first culture.","<p>Opening chapter of the Coach K MasterClass series. Covers creating an ownership mindset, building team culture through mutual respect, demanding accountability in performance and character, reinforcing the ""we over me"" mentality, and leading with empathy. Includes knowledge checks and a quiz on values-driven leadership fundamentals.</p>",Respect For People,Values; Culture,
GSL Academy,42246667-3beb-4a37-a22c-7a50e29bd71b,NSC First Aid /CPR/AED,"This course, following the National Safety Council (NSC) curriculum, teaches participants how to provide first aid, perform adult CPR, and use an Automated External Defibrillator (AED). Upon completion, participants earn nationally recognized NSC certification.","<p data-end=""627"" data-start=""119"">This comprehensive training program, based on the <strong data-end=""259"" data-start=""215"">National Safety Council (NSC) curriculum</strong>, equips participants with the knowledge and hands-on skills needed to confidently respond to a wide range of adult medical emergencies. The course covers essential first aid practices such as treating bleeding, burns, shock, and sudden illnesses, along with life-saving techniques including adult CPR and the proper use of an Automated External Defibrillator (AED).</p>
<p data-end=""987"" data-start=""629"">Through interactive instruction and realistic practice scenarios, participants will learn how to quickly assess situations, prioritize care, and take effective action until professional help arrives. The training emphasizes safety, preparedness, and confidence-building so individuals are ready to act in high-pressure situations where every second counts.</p>
<p data-end=""1322"" data-start=""989"">Upon successful completion, participants will receive <strong data-end=""1095"" data-start=""1043"">nationally recognized certification from the NSC</strong>, demonstrating their ability to deliver critical care in emergency situations. This course is ideal for workplace safety compliance, community preparedness, and anyone who wants to gain the skills to potentially save a life.</p>",,First Aid; RE-Cert; Certification; AED; CPR; Safety,
GSL Academy,f590d748-0295-4400-9937-7a79ba1426af,Values Driven Leadership -  09 Leading with Emotion,Understand how your attitude shapes your team's performance and learn strategies for leading with positive emotional energy.,"<p>Multi-lesson chapter on emotional leadership. Covers taking responsibility for your attitude, understanding how positive attitudes build resilience, improve communication, foster trust, and boost engagement. Also addresses the destructive impact of negative attitudes. Includes knowledge checks on emotional influence and perspective-shifting strategies.</p>",Respect For People,Mentor; Communication; Coaching; Field Leadership; Team Morale; Leadership; Team Leadership; Mentorship,
GSL Academy,26d76a75-85bb-4b6f-a062-7c154eab48c3,Sustaining Change,"Change is not just about adapting; it's about understanding, anticipating, and strategically aligning your leadership approach to turn challenges into opportunities for growth and innovation. This module will cover how to effectively sustain change.","Change is not just about adapting; it's about understanding, anticipating, and strategically aligning your leadership approach to turn challenges into opportunities for growth and innovation. This module will cover how to effectively sustain change.",,"Challenges; Sustaining Change; Change Outcomes, Growth",
GSL Academy,7d83270e-92c3-49c0-9ad9-7c354be833e9,Introduction to Lean Construction - 05 What is Lean?,"Defines lean production, contrasts it with craft production, and explains why lean principles are well-suited for construction.","<p>Covers the fundamentals of lean production, comparing it with craft production methods and explaining how lean minimizes waste and optimizes inputs. Includes multiple-choice and multiple-response knowledge checks.</p>",Lean Fundamentals,Production Concepts; Lean Definition,
GSL Academy,94e38016-ba2f-42ae-8be8-7c3dc213cb7c,Leading With Emotional Intelligence - 06 Enhancing Social Skills,"Develop seven core social skills within the emotional intelligence framework including communication, collaboration, persuasion, leadership, and conflict management.","<p>Covers seven social competencies under social competence: communication, collaboration, persuasion, inspirational leadership, conflict management, relationships, and change management. Matching quiz.</p>",,Communication; Conflict Resolution; Social Skills,
GSL Academy,21ad2352-8288-4b83-938e-7cf8c45b1d23,Types Of Chemical Hazards,Learn to identify and classify the major types of chemical hazards encountered in the workplace.,<p>Short video-based lesson on recognizing different categories of chemical hazards. Part of the broader Hazard Communication training series.</p>,,Hazards; OSHA; Safety,
GSL Academy,9a75b950-8ab1-43bd-9aed-7f83a968243e,Introduction  to Field Leadership Section - 3 Leadership,"Learn the definition of leadership, essential skills and traits, leadership styles, and the importance of leading by example.","<p>Covers leadership definition, key skills (communication, delegation), traits (accountability), leadership styles, and leading by example. Five quiz questions.</p>",,Reporting; Mentor; Planning; Coaching; Field Leadership; Time Management; Quality Control; Organization; Team Morale; Documentation; Leadership; Team Leadership; Mentorship,
GSL Academy,9fee9852-510a-47f2-8f1e-80e8afd7ee82,Simplify Daily Communication with AI,"Cut through the noise and communicate with ease with AI. Discover strategies to simplify daily communication, reduce time spent on emails and meetings, and improve clarity across your team with AI. Learn how to save time and boost productivity, without sacrificing impact.","<p>Cut through the noise and communicate with ease with AI. Discover strategies to simplify daily communication, reduce time spent on emails and meetings, and improve clarity across your team with AI. Learn how to save time and boost productivity, without sacrificing impact.</p>",,Simplification; Communication; Productivity; Email; Artificial Intelligence; AI; Simplify,
GSL Academy,f42237e3-9b51-4ad4-aa07-81cdabd3d607,Values Driven Leadership - 14 Develop Emerging Leaders,Learn a tiered approach to leadership development and the difference between delegating tasks and empowering people.,"<p>Six-lesson chapter covering tiered leadership (strategic, tactical, supportive), the critical difference between delegation and empowerment, and strategies for developing the next generation of leaders. Includes matching exercises and knowledge checks.</p>",Continuous Improvement; Respect For People,Mentor; Communication; Coaching; Field Leadership; Team Morale; Leadership; Team Leadership; Mentorship,
GSL Academy,bc309b59-f1a4-44d1-9464-87c59f7a8da7,Field Leadership - Anatomy of a Project - 04 Document Management,"Learn essential document management practices including email organization, change order handling, and digital filing strategies for construction projects.","<p>Covers the fundamentals of construction document management, including the purpose of documentation, email management with Outlook rules, change order processes, and digital organization strategies. Five quiz questions.</p>",,Reporting; Communication; Documentation,
GSL Academy,126a5267-b45e-4c98-bb4e-895ca849ad28,Growing Success: Essential Habits of Highly Effective People,"Growing Success: Essential Habits of Highly Effective People helps you cultivate the habits that propel individuals to success. Through this course, you'll discover how small, consistent actions lead to extraordinary results over time. From creating a structured daily routine to building resilience and embracing lifelong learning, you'll learn key strategies that successful people use every day to reach their goals.

This training focuses on developing habits aligning with your values, such as health, productivity, and relationship-building. By understanding and adopting these essential habits, you'll unlock the potential to manage your time more effectively, increase your productivity, and stay motivated personally and professionally.

You will gain actionable insights on improving your communication, maintaining work-life balance, and building a network that supports your aspirations. The combination of resilience, a positive mindset, and smart goal-setting will empower you to thrive in any situation and turn challenges into opportunities for growth.","<p><span style=""font-size:11pt;""><span style=""line-height:115%;""><span style=""font-family:Arial, sans-serif;""><em><span style=""font-size:12pt;""><span style=""line-height:115%;""><span style=""color:#0e101a;"">Growing Success: Essential Habits of Highly Effective People</span></span></span></em><span style=""font-size:12pt;""><span style=""line-height:115%;""><span style=""color:#0e101a;""> helps you cultivate the habits that propel individuals to success. Through this course, you'll discover how small, consistent actions lead to extraordinary results over time. From creating a structured daily routine to building resilience and embracing lifelong learning, you'll learn key strategies that successful people use every day to reach their goals.</span></span></span></span></span></span></p>

<p><span style=""font-size:11pt;""><span style=""line-height:115%;""><span style=""font-family:Arial, sans-serif;""><span style=""font-size:12pt;""><span style=""line-height:115%;""><span style=""color:#0e101a;"">This training focuses on developing habits aligning with your values, such as health, productivity, and relationship-building. By understanding and adopting these essential habits, you'll unlock the potential to manage your time more effectively, increase your productivity, and stay motivated personally and professionally.</span></span></span></span></span></span></p>

<p><span style=""font-size:12pt;""><span style=""line-height:115%;""><span style=""font-family:Arial, sans-serif;""><span style=""color:#0e101a;"">You will gain actionable insights on improving your communication, maintaining work-life balance, and building a network that supports your aspirations. The combination of resilience, a positive mindset, and smart goal-setting will empower you to thrive in any situation and turn challenges into opportunities for growth.</span></span></span></span></p>",,soft skills; growth habit; Productivity; personal growth; growth mindset; professional growth,
GSL Academy,55972be0-791b-48f2-bfe6-8a3a85aca2ff,Critical Leadership Training - 05 Extreme Ownership,"Understand the principle of extreme ownership where leaders take full responsibility for outcomes, eliminate excuses, and focus on solving problems.","<p>Teaches the concept of extreme ownership in leadership, emphasizing that leaders are responsible for all failures, should never blame others, and must maintain an action-oriented mindset. Multi-select knowledge check.</p>",,Focus; Solutions; Extreme Ownership; Decision-Making; Stratagy; Leadership; Empower Your Team; Ego; Accountability,
GSL Academy,39ab26bf-9cb6-4ced-b2f7-8b2b15d1e390,Values Driven Leadership,"Through real-life stories, proven strategies, and decades of experience, Coach K teaches how to lead with trust, respect, communication, and responsibility. He emphasizes that successful leaders don’t just focus on results—they build strong relationships, empower individuals, and create cultures where every person matters.","<p data-pm-slice=""1 1 []"">Through real-life stories, proven strategies, and decades of experience, Coach K teaches how to lead with <strong>trust, respect, communication, and responsibility</strong>. He emphasizes that successful leaders don’t just focus on results—they build strong relationships, empower individuals, and create cultures where <strong>every person matters</strong>.</p>
<p></p>
<p>This course is not just about coaching or sports—it’s about how to lead people effectively in any environment. Whether you're managing a team in the field or guiding a department in the office, you'll learn to build unity, drive purpose, and lead with integrity.</p>
<p data-pm-slice=""1 3 []""></p>
<p data-pm-slice=""1 3 []"">This chapter highlights the importance of relationships, empowerment, and accountability in fostering a positive and effective team culture.</p>
<p>This course explores values-driven leadership, emphasizing trust, respect, and communication as foundational elements.</p>
<ol>
<li>
<p><strong>Lead with integrity</strong>. Build trust and respect within your team to create a strong foundation.</p>
</li>
<li>
<p><strong>Empower individuals</strong>. Encourage team members to take initiative and contribute meaningfully.</p>
</li>
<li>
<p><strong>Cultivate relationships</strong>. Prioritize connections to foster a supportive and collaborative environment.</p>
</li>
<li>
<p><strong>Define core values</strong>. Understanding and aligning actions with values strengthens leadership.</p>
</li>
<li>
<p><strong>Foster accountability</strong>. Promote an ownership mindset to enhance trust and reliability.</p>
</li>
<li>
<p><strong>Drive purpose</strong>. Ensure every team member understands their role and its significance.</p>
</li>
<li>
<p><strong>Lead with empathy</strong>. Support your team during challenges to build resilience and trust.</p>
</li>
</ol>",Respect For People,Mentor; Coaching; Field Leadership; Organization; Team Morale; Leadership; Team Leadership; Mentorship,
GSL Academy,a3c4cdee-b8a5-4be2-b687-903875c255c7,Managing Sub-contractors,"Learn a complete framework for managing subcontractors from qualification and contracts through day-to-day oversight, dispute resolution, and long-term partnerships.","<p>Eight-lesson course covering the full subcontractor lifecycle: expectations, SOWs, day-to-day management, safety/quality, resolving challenges, qualifying subcontractors, contracts, and long-term partnerships. Knowledge checks and 16-question final quiz.</p>",,Discipline; Communication; Performance; Project Flow; Field Leadership; Quality Control; Team Leadership; Safety,
GSL Academy,b5e635b0-d8a3-40b6-90f2-928189dc6486,Advanced Trimble Accubid Classic Pro,"Advanced electrical estimating techniques in Trimble Accubid covering audit trails, takeoff strategies, databases, and bid management.","<p>Builds on foundational Accubid skills with 20+ lessons covering advanced takeoff techniques, audit trail breakdowns, database switching, temporary assemblies, typical takeoffs, sorting/filtering, alarm functions, item substitution, reverse takeoff, master/sub jobs, cost allocations, quote pad usage, supplier links, and final price crosschecks. Each lesson includes knowledge check quizzes.</p>",,Accubid; Estimating,
GSL Academy,dfc94654-d71c-4d53-ab2e-93a081b6c3ea,Creating a Pending Change Orders in ViewPoint,"Learn how to create and manage pending change orders in ViewPoint, including cost types, PCO statuses, and proper documentation.","<p>Step-by-step instruction on creating PCOs in ViewPoint, covering all ten cost types and the PCO status workflow from Status 20 through Status 40. Matching quiz.</p>",,Computer Skills; Change Order; Estimating,
GSL Academy,b5e62a31-22c1-423e-bc63-94bce25b9110,Leading With Emotional Intelligence - 02 Improving Self-Awareness,"Learn to improve self-awareness by recognizing emotional triggers, avoiding impulsive decisions, and using five practical techniques.","<p>Covers self-awareness within personal competence. Illustrates consequences of low self-awareness through scenarios, then teaches five techniques: feeling emotions, journaling, noticing physical reactions, ""what"" questions, and seeking feedback. Knowledge check.</p>",,Self Awareness; Reflective Practices; Emotional Management,
GSL Academy,03bafa95-9614-43c6-a595-951ab8606f41,Safety Coordinator  ,"The Safety Coordinator Training provides GSL Safety Coordinators with the essential knowledge and tools to promote and maintain a safe work environment on every project. This course covers core responsibilities, OSHA and MSHA compliance, jobsite inspections, hazard recognition, accident investigations, and injury case management. Coordinators will also learn how to conduct safety meetings, deliver effective orientations, and ensure proper use of forms and safety documentation. By the end of this training, participants will be fully equipped to lead by example, support field teams, and enforce GSL’s commitment to safety, quality, and accountability.","<p data-end=""550"" data-start=""126"">The <strong data-end=""169"" data-start=""130"">Safety Coordinator Training Program</strong> is designed to prepare GSL Safety Coordinators to be leaders in workplace safety and compliance across all projects. This course provides an in-depth understanding of the responsibilities and expectations outlined in the <em data-end=""420"" data-start=""391"">Safety Coordinator Handbook</em> and equips coordinators with the tools needed to protect employees, uphold company standards, and ensure regulatory compliance.</p>
<p data-end=""1041"" data-start=""552"">Participants will explore a wide range of safety topics, including OSHA and MSHA requirements, project start-up procedures, employee safety orientations, and task-specific training. The course emphasizes proactive hazard recognition, accident and incident investigations, and effective case management for injuries. Coordinators will learn how to conduct thorough inspections, maintain accurate safety documentation, and enforce company policies through corrective action when necessary.</p>
<p data-end=""1602"" data-start=""1043"">A key component of the program is developing leadership skills to support crews in maintaining safe work practices. Coordinators will gain practical experience in organizing and conducting toolbox talks, facilitating weekly safety meetings, and communicating safety expectations to both employees and project leadership. The training also highlights GSL’s core values of Vision, Commitment, and Accountability, reinforcing that a safe work environment is fundamental to quality craftsmanship, productivity, and teamwork.</p>
<p data-end=""1672"" data-start=""1604"">By the end of the course, Safety Coordinators will be prepared to:</p>
<ul data-end=""2185"" data-start=""1673"">
<li data-end=""1751"" data-start=""1673"">
<p data-end=""1751"" data-start=""1675"">Administer and enforce GSL Electric’s Safety Program at the project level.</p>
</li>
<li data-end=""1854"" data-start=""1752"">
<p data-end=""1854"" data-start=""1754"">Conduct orientations and task training that align with federal regulations and company procedures.</p>
</li>
<li data-end=""1978"" data-start=""1855"">
<p data-end=""1978"" data-start=""1857"">Recognize and control hazards through inspections, risk assessments, and planning tools such as permits and checklists.</p>
</li>
<li data-end=""2074"" data-start=""1979"">
<p data-end=""2074"" data-start=""1981"">Manage reporting, documentation, and communication requirements for incidents and injuries.</p>
</li>
<li data-end=""2185"" data-start=""2075"">
<p data-end=""2185"" data-start=""2077"">Lead crews by example, fostering a strong safety culture built on accountability and proactive prevention.</p>
</li>
</ul>
<p data-end=""2404"" data-start=""2187"">This training ensures that every Safety Coordinator is fully equipped to protect employees, reduce risk, and support GSL Electric’s mission of <em data-end=""2348"" data-start=""2330"">Powering Forward</em> with safety, quality, and integrity at the forefront.</p>",,Training; Safety Culture; Safety Coordinator; Safety,
GSL Academy,9f10b347-61ba-405f-a833-952bdc1c240e,Values Driven Leadership -  04 Own Your Team,"Take ownership of your team culture by leading by example, encouraging open communication, and promoting accountability.","<p>A ""Time-Out"" reflection chapter on owning your team culture. Covers leading by example with integrity and respect, creating space for open communication, and holding yourself and others accountable. Interactive true/false exercises on team culture ownership.</p>",Continuous Improvement; Respect For People,Mentor; Coaching; Field Leadership; Team Morale; Leadership; Team Leadership; Mentorship,
GSL Academy,4964892f-4b59-44cd-8e48-96e5d103aa78,Field Leadership - Anatomy of a Project - 01 Job Plan Theory,"From the course “Introduction to Field Leadership Section 2”.
This chapter delves into the Job Plan Theory, highlighting its critical role in project management and labor cost control. It emphasized strategies for enhancing productivity and mitigating risks associated with labor expenses.
","<p><i>From the course “Introduction to Field Leadership Section 2”.</i></p>
<p><i></i></p>
<p>This chapter delves into the Job Plan Theory, highlighting its critical role in project management and labor cost control. It emphasized strategies for enhancing productivity and mitigating risks associated with labor expenses.</p>
<ol>
<li><b>Understand the job plan's role</b>. It is essential for tracking productivity and managing labor costs.</li>
<li><b>Manage labor costs effectively</b>. Labor expenses are a significant part of total project costs.</li>
<li><b>Mitigate risks through planning</b>. A well-structured job plan helps reduce risks associated with labor management.</li>
<li><b>Identify key factors affecting productivity</b>. Crew experience, environment, and morale significantly impact project costs.</li>
<li><b>Monitor productivity continuously</b>. Early detection of issues allows for timely corrective actions.</li>
<li><b>Utilize job plan components effectively</b>. Regular reviews help in identifying deficiencies and maintaining profitability.</li>
</ol>
<p>By mastering the Job Plan Theory, you can ensure better project outcomes and improved labor cost management.</p>",,,
GSL Academy,9780a918-1e8d-4213-a6dd-995bf890e938,Introduction to Lean Construction - 08 What Processes Need to Change?,"Identifies construction processes that need transformation, including project delivery methods, digital tools, and pull planning.","<p>Examines the limitations of traditional design-bid-build methods and presents alternatives that align with lean principles. Covers alternative delivery methods, digital tools, and pull planning for improving collaboration and workflow efficiency.</p>",Continuous Improvement; Lean Fundamentals,Lean Integration; Process Change,
GSL Academy,b268d172-d3b4-4312-9a63-99c9731c0994,Leading With Emotional Intelligence -  01 What Is Emotional Intelligence?,"Learn the five core competencies of emotional intelligence: self-awareness, self-regulation, self-motivation, empathy, and social skills.","<p>Introduces the framework of emotional intelligence by distinguishing personal competence (self-awareness, self-regulation, self-motivation) from social competence (empathy, social skills). Includes a matching exercise to reinforce understanding.</p>",,Emotional Intelligence; Leadership Basics; Empathy,
GSL Academy,40675bd2-a78d-4a6d-a90e-99fa7d2c9f6c,Values Driven Leadership -  02 Define Your Core Values,"Discover and define your personal core values, then learn to personalize and put them into action as a leader.","<p>Teaches leaders to identify core values through reflection on pivotal life experiences, personalize those values for authentic leadership, and translate values into daily actions. Covers the benefits of values alignment: easier decisions, increased integrity, and stronger leadership presence. Includes knowledge checks.</p>",Respect For People,Mentor; Coaching; Field Leadership; Team Morale; Leadership; Team Leadership; Mentorship,
GSL Academy,1878421c-8b0a-40b5-b46c-9b404883e337,Introduction to Lean / 8 Types of Waste - 03,"This  lesson lays the foundation for understanding Lean as both a practical system and a powerful way of thinking. You’ll discover what Lean truly means, explore its purpose, and examine how it helps organizations eliminate waste, improve flow, and deliver more value to customers. The course walks through the origins of Lean, dispels common misconceptions, and shows how Lean applies far beyond manufacturing in construction industry. You’ll also learn why Lean is more than just tools; it’s a people-centered approach rooted in continuous improvement, respect, and purposeful problem-solving. Whether you're new to Lean or looking to reinforce your understanding, this lesson will help you see Lean not as a one-time project, but as a long-term commitment to doing more of what matters.","<div aria-label=""What is &quot;LEAN&quot;"" tabindex=""0""><span data-automation-value=""0"" data-automationid=""ViewCourse"">What is ""LEAN""</span>This learning item is set as required to complete the course.<span data-automationid=""RequiredForCompletionHint""></span></div>
<p>Learning item descriptionThis  lesson lays the foundation for understanding Lean as both a practical system and a powerful way of thinking. You’ll discover what Lean truly means, explore its purpose, and examine how it helps organizations eliminate waste, improve flow, and deliver more value to customers. The course walks through the origins of Lean, dispels common misconceptions, and shows how Lean applies far beyond manufacturing in construction industry. You’ll also learn why Lean is more than just tools; it’s a people-centered approach rooted in continuous improvement, respect, and purposeful problem-solving. Whether you're new to Lean or looking to reinforce your understanding, this lesson will help you see Lean not as a one-time project, but as a long-term commitment to doing more of what matters.</p>",Lean Fundamentals,Waste Reduction; Waste Identification; Waste Elimination; Lean Principles,
GSL Academy,75a8fecd-34a6-411c-b2e5-9f3eea5c710c,Safety Coordinator - 9.0 Accident & Incident Investigations,"Learn how to investigate workplace accidents and incidents, including documentation, evidence collection, and 24-hour reporting requirements.","<p>Covers investigation procedures: incident reports, visual evidence, witness statements, and 24-hour reporting to the Safety Director. Knowledge check.</p>",,Accident & Incident Investigations,
