Course,Source File,Skill Buckets,Skills,Difficulty (Level),,Category (First level of Course Catalog),Subcategory (Second level of Course Catalog),,Difficulty (Level),Tags,,,Mandatory For,Recommended For,Notes
The Art of Presenting - Chapter 7d: Delivering Your Presentation,the-art-of-presenting-chapter-7-d-delivering-your-presentation-scorm12-rqczlxog (1).zip,Leadership,Soft Skills,Foundational,,Presentation Skills,Presentation Skills,,Foundational,Communication,,,Executive; General Superintendent; Project Management; Superintendents,Field Leadership; Safety,
Chapter 6 - Enhancing Your Social Skills,chapter-6-enhancing-your-social-skills-scorm12-idczjurm.zip,Leadership,Soft Skills,Foundational,,Emotional Intelligence,Social Skills,Social Skills,Foundational,Leadership; Leadership Basics,,,Field Entry; Field Journeyman; Field Leadership; Superintendents,,
Chapter 8 Introduction to Effective Communication,chapter-8-introduction-to-effective-communication-scorm12-k6p_uqpq (1).zip,Leadership,Soft Skills,Foundational,,Emotional Intelligence,Communication,Communication,Foundational,Field Leadership; Communication,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Developing Empathy,developing-empathy-scorm12-vhcmzfyl.zip,Leadership,Soft Skills,Foundational,,Emotional Intelligence,Empathy,Empathy,Foundational,Leadership; Leadership Basics,,,Executive; Field Leadership; General Superintendent; Project Management; Superintendents,Administration; Engineering; Estimating; Field Entry; Field Journeyman; Other/Specialized; Safety,
Enhancing Social Skills,enhancing-social-skills-scorm12-prqpfyxi.zip,Leadership,Soft Skills,Foundational,,Emotional Intelligence,Social Skills,Social Skills,Foundational,Leadership; Leadership Basics,,,Executive; Field Leadership; General Superintendent; Project Management; Superintendents,Administration; Engineering; Estimating; Field Entry; Field Journeyman; Other/Specialized; Safety,
Improving Self-Awareness,improving-self-awareness-scorm12-nv0knu1a.zip,Leadership,Soft Skills,Foundational,,Emotional Intelligence,EQ Fundamentals,Self-Awareness,Foundational,Leadership; Leadership Basics,,,Executive; Field Leadership; General Superintendent; Project Management; Superintendents,Administration; Engineering; Estimating; Field Entry; Field Journeyman; Other/Specialized; Safety,
Increasing Self-Motivation,increasing-self-motivation-scorm12-npmiqa6h.zip,Leadership,Soft Skills,Foundational,,Emotional Intelligence,EQ Leadership,Motivation,Foundational,Leadership; Leadership Basics; Motivation,,,Executive; Field Leadership; General Superintendent; Project Management; Superintendents,Administration; Engineering; Estimating; Field Entry; Field Journeyman; Other/Specialized; Safety,
Increasing Your Self-Motivation,increasing-your-self-motivation-scorm12-s0eqm439.zip,Leadership,Soft Skills,Foundational,,Emotional Intelligence,EQ Leadership,Motivation,Foundational,Leadership; Leadership Basics; Motivation,,,Field Entry; Field Journeyman; Field Leadership; Superintendents,,
Introduction to Effective Communication- Introduction to Field Leadership Section - 1,introduction-to-effective-communication-introduction-to-field-leadership-section-1-scorm12-0vyt6ox6.zip,Leadership,Soft Skills,Foundational,,Emotional Intelligence,Effective Communication,Communication,Foundational,Field Leadership; Communication,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Leading With Emotional Intelligence,f40629c8-0091-418e-9b45-cee6a5b3aa9c.zip,Leadership,Soft Skills,Foundational,,Emotional Intelligence,EQ Fundamentals,Emotional Intelligence,Foundational,Emotional Intelligence,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Techniques for Better Communication and Feedback Introduction to Field Leadership Section 3 -,techniques-for-better-communication-and-feedback-introduction-to-field-leadership-section-3-scorm12-eunu31cm.zip,Leadership,Soft Skills,Foundational,,Emotional Intelligence,Effective Communication,Communication,Foundational,Leadership; Communication,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,
Values Driven Leadership : 8 Effective Communication,56ba7bcd-acc3-4ada-9d4c-179765442bbe.zip,Leadership,Soft Skills,Foundational,,Emotional Intelligence,Effective Communication,Communication,Foundational,Values-Driven; Leadership; Communication,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Job Plan Theory - Introduction to Field Leadership Section 2,job-plan-theory-introduction-to-field-leadership-section-2-scorm12-dckui4j2.zip,Leadership,Software,Foundational,,Excel,Creating Job Plans,Project Planning & Scheduling,Foundational,job plan; Planning,,,Field Leadership; Superintendents,General Superintendent; Project Management,LOW confidence - verify content before finalizing
Chapter 2 - Jobsite Efficiency,chapter-2-jobsite-efficiency-scorm12-gtwzkr7z.zip,Lean Construction,,Foundational,,Productivity Execution,Leadership,Project Planning & Scheduling,Foundational,job plan; jobsite efficiency; productivity; execution,,,Field Leadership; Superintendents,General Superintendent; Project Management,LOW confidence - verify content before finalizing
Jobsite Efficiency Introduction to Field Leadership Section 2,jobsite-efficiency-introduction-to-field-leadership-section-2-scorm12--oojrobn.zip,Lean Construction,,Foundational,,Productivity Execution,Leadership,Project Planning & Scheduling,Foundational,job plan; Planning; Efficiency,,,Field Leadership; Superintendents,General Superintendent; Project Management,LOW confidence - verify content before finalizing
Chapter 01 - Embracing Lean Productivity,chapter-01-embracing-lean-productivity-scorm12-rrruldwd.zip,Lean Construction,,Foundational,,Lean Fundamentals,Lean Principals,Lean Fundamentals,Foundational,Lean; productivity; Lean Construction; fundamentals,,,Field Leadership; General Superintendent; Project Management; Superintendents,Estimating; Executive; Field Journeyman; Other/Specialized,LOW confidence - verify content before finalizing
The Eight Wastes of Construction,the-eight-wastes-of-construction-scorm12-9_faca08.zip,Lean Construction,,Foundational,,Eight Wastes Recognition,Lean Principals,Waste Management,Foundational,Lean; Waste; Lean Construction; Eliminate Waste; Continuous Improvement; Respect For People,,,Field Leadership; Superintendents,,
Chapter 02 - What You Need to Know,chapter-02-what-you-need-to-know-scorm12-n-qj69jo (1).zip,Lean Construction,,Foundational,,Lean Fundamentals,Lean Principals,Lean Fundamentals,Foundational,Lean; Lean Construction; fundamentals; basics,,,Field Leadership; Superintendents,,LOW confidence - verify content before finalizing
Chapter 03 - Productivity in Construction,chapter-03-productivity-in-construction-scorm12-imnm9mxy.zip,Lean Construction,,Foundational,,Productivity Benefits,Lean Principals,`,Foundational,Lean; productivity; Lean Construction; Construction; Efficiency,,,Field Leadership; General Superintendent; Project Management; Superintendents,Estimating; Executive; Field Journeyman; Other/Specialized,LOW confidence - verify content before finalizing
Chapter 05 - What is Lean?,chapter-05-what-is-lean-scorm12-pvxdpabr.zip,Lean Construction,,Foundational,,Lean Fundamentals,Lean Principals,Lean Fundamentals,Foundational,Lean; Lean Construction; Lean Principles ; fundamentals,,,Field Leadership; General Superintendent; Project Management; Superintendents,Estimating; Executive; Field Journeyman; Other/Specialized,LOW confidence - verify content before finalizing
Chapter 06 - A Brief History,chapter-06-a-brief-history-scorm12-d1yinukr.zip,Lean Construction,,Foundational,,Lean History Understanding,Lean Principals,Industry Transformation,Foundational,Lean; Industry Change; Lean Adoption; Lean Construction,,,Field Leadership; Superintendents,,LOW confidence - verify content before finalizing
Chapter 07 - How Does Lean Apply to Construction?,chapter-07-how-does-lean-apply-to-construction-scorm12-wji5bpej.zip,Lean Construction,,Foundational,,Lean Fundamentals,Lean Principals,Lean Fundamentals,Foundational,Lean; Lean Construction; Construction; Process Improvement,,,Field Leadership; General Superintendent; Project Management; Superintendents,Estimating; Executive; Field Journeyman; Other/Specialized,LOW confidence - verify content before finalizing
Chapter 08 - What Processes Need to Change?,chapter-08-what-processes-need-to-change-scorm12-said6ikm.zip,Lean Construction,,Foundational,,Lean Mindset,Lean Principals,Process Management,Foundational,Lean; Process Improvement; Process; Lean Construction; Continuous Improvement,,,Field Leadership; General Superintendent; Project Management; Superintendents,Estimating; Executive; Field Journeyman; Other/Specialized,LOW confidence - verify content before finalizing
Chapter 09 - The Adoption of a New Production Theory,chapter-09-the-adoption-of-a-new-production-theory-scorm12-ypg1zg6x.zip,Lean Construction,,Foundational,,Lean Mindset,Lean Principals,Industry Transformation,Foundational,Lean; Lean Adoption; Industry Change; Lean Construction,,,Field Leadership; Superintendents,,LOW confidence - verify content before finalizing
Chapter 10 - Identifying Waste in Construction,chapter-10-identifying-waste-in-construction-scorm12-rttb6txz.zip,Lean Construction,,Intermediate,,Eight Wastes Recognition,Lean Principals,Waste Management,Intermediate,Lean; Waste; Lean Construction; Eliminate Waste,,,Field Leadership; General Superintendent; Project Management; Superintendents,Estimating; Executive; Field Journeyman; Other/Specialized,LOW confidence - verify content before finalizing
Chapter 11 - Minimizing Waste at a Project Level,chapter-11-minimizing-waste-at-a-project-level-scorm12-bb8uiief (1).zip,Lean Construction,,Intermediate,,Eliminate Waste,Lean Principals,Waste Management,Intermediate,Lean; Waste; Eliminate Waste; Lean Construction; jobsite efficiency,,,Field Leadership; General Superintendent; Project Management; Superintendents,Estimating; Executive; Field Journeyman; Other/Specialized,LOW confidence - verify content before finalizing
Chapter 12 - Empowerment of Field Personnel,chapter-12-empowerment-of-field-personnel-scorm12-tz6n2sy9.zip,Lean Construction,,Intermediate,,Field Team Empowerment,Lean Principals,Respect For People,Intermediate,Lean; Empowerment; Respect For People; Lean Construction; autonomy,,,Field Leadership; General Superintendent; Project Management; Superintendents,Estimating; Executive; Field Journeyman; Other/Specialized,LOW confidence - verify content before finalizing
Chapter 13 - Pull Planning,chapter-13-pull-planning-scorm12-ne5la4rr.zip,Lean Construction,,Intermediate,,Pull Planning,Lean Principals,Pull Planning,Intermediate,Lean; Lean Construction; Planning; Scheduling; Collaboration,,,Field Leadership; General Superintendent; Project Management; Superintendents,Estimating; Executive; Field Journeyman; Other/Specialized,LOW confidence - verify content before finalizing
Chapter 14 - The Sticky Note Format,chapter-14-the-sticky-note-format-scorm12-ipzawrxc.zip,Lean Construction,,Intermediate,,Pull Planning,Lean Principals,Pull Planning,Intermediate,Lean; Lean Construction; Planning; Collaboration,,,Field Leadership; General Superintendent; Project Management; Superintendents,Estimating; Executive; Field Journeyman; Other/Specialized,LOW confidence - verify content before finalizing
Chapter 15 - Continuous Improvement,chapter-15-continuous-improvement-scorm12-s6uwlft8.zip,Lean Construction,,Intermediate,,Continuous Improvement,Lean Principals,Continuous Improvement,Intermediate,Lean; Continuous Improvement; Kaizen; Lean Construction; Improvement,,,,Field Leadership; Superintendents,LOW confidence - verify content before finalizing
Chapter 16 - Training the Industry,chapter-16-training-the-industry-scorm12-lnugtlxm.zip,Lean Construction,,Intermediate,,Lean Mindset,Lean Principals,Industry Transformation,Intermediate,Lean; Industry Change; training; Lean Construction,,,Field Leadership; General Superintendent; Project Management; Superintendents,Estimating; Executive; Field Journeyman; Other/Specialized,LOW confidence - verify content before finalizing
Chapter 17 - Reshaping the Industry,chapter-17-reshaping-the-industry-scorm12-ltddpgc0.zip,Lean Construction,,Intermediate,,Lean Mindset,Lean Principals,Industry Transformation,Intermediate,Lean; Industry Change; Lean Adoption; Lean Construction,,,Field Leadership; General Superintendent; Project Management; Superintendents,Estimating; Executive; Field Journeyman; Other/Specialized,LOW confidence - verify content before finalizing
Chapter 4 - Construction vs. Manufacturing,chapter-4-construction-vs-manufacturing-scorm12-atugxt47.zip,Lean Construction,,Foundational,,Lean Fundamentals,Lean Principals,Lean Fundamentals,Foundational,Lean; Lean Construction,,,Field Leadership; General Superintendent; Project Management; Superintendents,Estimating; Executive; Field Journeyman; Other/Specialized,LOW confidence - verify content before finalizing
Construction Management: Introduction to Lean Construction,construction-management-introduction-to-lean-construction-scorm12-ix45_zjt.zip,Lean Construction,,Foundational,,Lean Fundamentals,Lean Principals,Lean Fundamentals,Foundational,Lean; Lean Construction,,,Field Leadership; Superintendents,,LOW confidence - verify content before finalizing
On-Site Productivity,on-site-productivity-scorm12-m7-7zmzj (1).zip,Lean Construction,,Foundational,,Productivity Execution,Lean Principals,Lean Fundamentals,Foundational,productivity; Lean,,,General Superintendent; Project Management; Superintendents,Executive; Field Leadership; Safety,LOW confidence - verify content before finalizing
"What is ""LEAN""",what-is-lean-scorm12-5l-lsg8r.zip,Lean Construction,,Foundational,,Lean Fundamentals,Lean Principals,Lean Fundamentals,Foundational,Lean; Lean Construction,,,Field Leadership; Superintendents,,
Chapter 4 - Document Management,chapter-4-document-management-scorm12-tyrhbk9m.zip,Management,,Foundational,,Documentation Practices,Leadership,Document Control,Foundational,job plan; Planning,,,Field Leadership; Superintendents,General Superintendent; Project Management,LOW confidence - verify content before finalizing
Chapter 7 Introduction to Documentation and Reporting,chapter-7-introduction-to-documentation-and-reporting-scorm12-kjbidn5r.zip,Management,,Foundational,,Documentation & Reporting,Leadership,"Skills, Traits, & Responsibilities",Foundational,Field Leadership; Documentation,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Document Management- Introduction to Field Leadership Section 2,document-management-introduction-to-field-leadership-section-2-scorm12-su5ewyse.zip,Management,,Foundational,,Documentation Practices,Leadership,Document Control,Foundational,job plan; Planning,,,Field Leadership; Superintendents,General Superintendent; Project Management,LOW confidence - verify content before finalizing
Introduction to Documentation and Reporting- Introduction to Field Leadership Section - 1,introduction-to-documentation-and-reporting-introduction-to-field-leadership-section-1-scorm12-5pb1ub8x.zip,Management,,Foundational,,Documentation & Reporting,Leadership,"Skills, Traits, & Responsibilities",Foundational,Field Leadership; Documentation,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Approving Change Orders in ViewPoint,3354da97-5b41-4f64-97cd-9e3cf916414e.zip,Management,Software,Foundational,,Viewpoint,ViewPoint Change Orders,Change Orders,Foundational,Viewpoint; Vista; Change Orders; software,,,Project Management; Superintendents,Field Leadership; General Superintendent,
Creating a Pending Change Orders in ViewPoint,creating-a-pending-change-orders-in-view-point-scorm12-cir_kuef.zip,Management,Software,Foundational,,Viewpoint,ViewPoint Change Orders,Change Orders,Foundational,software,,,Project Management; Superintendents,Field Leadership; General Superintendent,LOW confidence - verify content before finalizing
Advanced Trimble Accubid Classic Pro,6900d60b-d412-4bc1-aab7-d068f5c8eb0e (1).zip,Procurement,,Advanced,,Estimating,Estimating,Accubid,Advanced,Accubid; Estimating; Takeoff; Pricing; sub-jobs; cost; software,,,Estimating,Engineering; Project Management,
Learning Accubid Pro,learning-accubid-pro-scorm12-c6av2ijj.zip,Procurement,,Intermediate,,Estimating,Estimating,Accubid,Intermediate,Estimating,,,Estimating,Engineering; Project Management,
Commitment to Safety : A Shared Responsibility- New Hire Safety Orientation,640d3a2d-f5d1-4131-bc2a-8acbb03cd182.zip,Safety,Personal Safety,Foundational,,Employee Orientation,,,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; General Superintendent; Project Management; Safety; Superintendents,Administration; Engineering; Estimating; Executive; Other/Specialized,LOW confidence - verify content before finalizing
GSL's New Hire Safety Orientation,8d96dbf9-679c-4f00-b8a6-b62accb23d0d.zip,Safety,Personal Safety,Foundational,,Employee Orientation,,,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; General Superintendent; Project Management; Safety; Superintendents,Administration; Engineering; Estimating; Executive; Other/Specialized,LOW confidence - verify content before finalizing
New Hire Safety Orientation,new-hire-safety-orientation-scorm12-n-zkxxau.zip,Safety,Personal Safety,Foundational,,Employee Orientation,,,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; General Superintendent; Project Management; Safety; Superintendents,Administration; Engineering; Estimating; Executive; Other/Specialized,LOW confidence - verify content before finalizing
Safety Coordinator - 3.0 Employee Safety Orientation,safety-coordinator-3-0-employee-safety-orientation-scorm12-wwdhs8xs.zip,Safety,Personal Safety,Foundational,,Employee Orientation,,,Foundational,Safety,,,Field Leadership; Safety; Superintendents,General Superintendent; Project Management,
Employee Assistance Program (EAP) and Mental Health Awareness- field leadership -4,employee-assistance-program-eap-and-mental-health-awareness-field-leadership-4-scorm12-tx9ouuz5.zip,Safety,Personal Safety,Foundational,,Safety Responsibility,General Personal Development,,Foundational,Leadership,,,Field Leadership; General Superintendent; Superintendents,Project Management; Safety,LOW confidence - verify content before finalizing
Safety Coordinator - 11.0 OSHA & MSHA Inspections,safety-coordinator-11-0-osha-msha-inspections-scorm12-1cfxq7kp.zip,Safety,,Foundational,,Regulatory Inspections,OSHA & MSHA Inspections,,Foundational,Safety,,,Field Leadership; Safety; Superintendents,Field Entry; Field Journeyman; General Superintendent; Project Management,
Safety Coordinator - 7.0 Safety Inspections,safety-coordinator-7-0-safety-inspections-scorm12-dsf-btet.zip,Safety,,Foundational,,Regulatory Inspections,OSHA & MSHA Inspections,,Foundational,Safety,,,Field Leadership; Safety; Superintendents,General Superintendent; Project Management,
"Workplace Inspections, Pre-Task Assessments, Briefings",workplace-inspections-pre-task-assessments-briefings-scorm12-mpjt1kbi.zip,Safety,,[UNKNOWN],,Regulatory Inspections,OSHA & MSHA Inspections,,[UNKNOWN],,,,Field Leadership; Safety; Superintendents,Field Entry; Field Journeyman; General Superintendent; Project Management,
FMLA Introduction to Field Leadership Part - 4 Policy,fmla-introduction-to-field-leadership-part-4-policy-scorm12-wvlpmgbx.zip,Safety,,Foundational,,Safety Responsibility,Policy,,Foundational,Leadership,,,Field Leadership; General Superintendent; Project Management; Safety; Superintendents,Administration; Estimating; Executive; Other/Specialized,LOW confidence - verify content before finalizing
"Harassment, Discrimination, and Retaliation Prevention -Introduction to Field Leadership Part - 4",harassment-discrimination-and-retaliation-prevention-introduction-to-field-leadership-part-4-scorm12-tkuwfuoz.zip,Safety,,Foundational,,Safety Responsibility,Policy,,Foundational,Leadership,,,Field Leadership; General Superintendent; Project Management; Safety; Superintendents,Administration; Estimating; Executive; Other/Specialized,LOW confidence - verify content before finalizing
Electrical Shock & Arc Flash Risk Assessments (Safety-Related Work Practices),electrical-shock-arc-flash-risk-assessments-safety-related-work-practices-scorm12-2z6u87fa.zip,Safety,,Intermediate,,Electrical Risk Assessment,Risk Assessment,,Intermediate,Safety,,,Field Journeyman; Field Leadership; Safety; Superintendents,Field Entry; General Superintendent; Project Management,
2024 NFPA 70E Required Boundaries,2024-nfpa-70-e-required-boundaries-scorm12-dumyti56.zip,Safety,,Intermediate,,Approach Boundary Management,Safety,Electrical Safety,Intermediate,NFPA 70E; approach boundary; electrical safety; shock; qualified person; boundaries; ppe,,,Field Journeyman; Field Leadership; Safety; Superintendents,Field Entry; General Superintendent; Project Management,
Arc Flash Personal Protective Equipment (PPE),arc-flash-personal-protective-equipment-ppe-scorm12-4M7f_E64.zip,Safety,,Intermediate,,Arc Flash Awareness,Safety,Electrical Safety,Intermediate,arc flash; ppe; NFPA 70E; incident energy; electrical safety; Personal Protection,,,Field Journeyman; Field Leadership; Safety; Superintendents,Field Entry; General Superintendent; Project Management,
Hazard Communication,4896725b-5d88-4056-8a6e-4290ba8a5a5d.zip,Safety,,Foundational,,Chemical Hazard Identification,Safety,Hazard Communication,Foundational,Safety; Communication,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
A Commitment to Zero Broken Lives- New Hire Safety Orientation,3c1c9fac-b95f-4fad-b859-fe5a6a84824e.zip,Safety,,Foundational,,Safety Responsibility,Safety,Employee Orientation,Foundational,Safety; safety culture; expectations & onboarding; safety protocols,,,Field Entry; Field Journeyman; Field Leadership; General Superintendent; Project Management; Safety; Superintendents,Administration; Engineering; Estimating; Executive; Other/Specialized,
Safety Data Sheets,7ba26b66-15c2-4272-937c-8c20a0b71e21.zip,Safety,,Foundational,,Chemical Hazard Identification,Safety,Hazard Communication,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,LOW confidence - verify content before finalizing
The Written Hazard Communication Plan,b9294f00-7631-4483-a177-9d75bcfa828d.zip,Safety,,Foundational,,Chemical Hazard Identification,Safety,Hazard Communication,Foundational,Safety; Communication,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Abnormal Lockout Removal Procedures,abnormal-lockout-removal-procedures-scorm12-nyjwgrko.zip,Safety,,Intermediate,,LOTO Procedures,Safety,Lockout / Tagout,Intermediate,LOTO; abnormal removal; Safety; compliance; red master lock,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Complex Lockout-Tagout Procedures,bc18133e-d61d-4b14-979b-7e7360f22583.zip,Safety,,Intermediate,,LOTO Procedures,Safety,Lockout / Tagout,Intermediate,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Permit-Required Confined Spaces,1bcd2f05-c0c3-4b2c-9f6e-baba0ac1bc61.zip,Safety,,Foundational,,Confined Space Program,Safety,,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Information Found on Container Labels,75a49409-e8aa-4ce3-b528-8ce05aef937f.zip,Safety,,Foundational,,Container Label Use,Safety,Hazard Communication,Foundational,hazard communication; label; GHS,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Verifying a De-Energized Condition,verifying-a-de-energized-condition-scorm12-tl-lwmmj.zip,Safety,,Intermediate,,Electrical Safety Fundamentals,Safety,Electrical Safety,Intermediate,electrical safety; verification; voltage tester,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Permitted Energized Work & Required Energized Work Permit,5c12a5da-7dc6-4649-84de-f3637bde375d.zip,Safety,,Foundational,,Energized Work Practices,Safety,Electrical Safety,Foundational,Safety,,,Field Journeyman; Field Leadership; Safety; Superintendents,Field Entry; General Superintendent; Project Management,
Required Precautions & Practices - Energized Work,required-precautions-practices-energized-work-scorm12-pfsg-qmp.zip,Safety,,Foundational,,Energized Work Practices,Safety,Electrical Safety,Foundational,Safety,,,Field Journeyman; Field Leadership; Safety; Superintendents,Field Entry; General Superintendent; Project Management,
Required Precautions & Practices - Testing & Troubleshooting,required-precautions-practices-testing-troubleshooting-scorm12-ixvxs06l.zip,Safety,,Intermediate,,Energized Work Practices,Safety,Electrical Safety,Intermediate,electrical safety; testing,,,Field Journeyman; Field Leadership; Safety; Superintendents,Field Entry; General Superintendent; Project Management,
Safe Electrical Work Practices And The 2024 NFPA 70E For Electrical Workers,safe-electrical-work-practices-and-the-2024-nfpa-70-e-for-electrical-workers-scorm12-o1fsru32.zip,Safety,,Intermediate,,Energized Work Practices,Safety,Electrical Safety,Intermediate,Safety,,,Field Journeyman; Field Leadership; Safety; Superintendents,Field Entry; General Superintendent; Project Management,
Fall Protection In Industrial And Construction Environments,3831c3b1-2959-47c3-9eb2-0bb7c0bb06cf (1).zip,Safety,,Foundational,,Fall Hazard Recognition,Safety,Working From Heights,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
"Fall Protection In Industrial And Construction Environments: Edges, Openings And Guarding",fall-protection-in-industrial-and-construction-environments-edges-openings-and-guarding-scorm12-ulhh_oba.zip,Safety,,Foundational,,Fall Hazard Recognition,Safety,Working From Heights,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Using Portable and Fixed Ladders,7eb6fa30-c8f4-4239-9186-9e9be0dcd045.zip,Safety,,Foundational,,Ladder Safety,Safety,Working From Heights,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Return To Service Procedures,fa99d337-0243-4b21-b9b7-a54215bbda0b.zip,Safety,,Foundational,,LOTO Procedures,Safety,Lockout / Tagout,Foundational,LOTO; Return to Service,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Lockout Tagout Procedures,095abf5a-362f-42ef-8158-994ddd66e70e.zip,Safety,,Foundational,,LOTO Procedures,Safety,Lockout / Tagout,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Lockout Tagout Procedures - Abnormal Lockout Removal Procedures,lockout-tagout-procedures-abnormal-lockout-removal-procedures-scorm12-x9mn1h5s (1).zip,Safety,,Foundational,,LOTO Procedures,Safety,Lockout / Tagout,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Lockout Tagout Procedures - Complex Lockout-Tagout Procedures,lockout-tagout-procedures-complex-lockout-tagout-procedures-scorm12-r6juiurw.zip,Safety,,Intermediate,,LOTO Procedures,Safety,Lockout / Tagout,Intermediate,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Lockout Tagout Procedures - Hazardous Energy Control (Lockout Tagout),lockout-tagout-procedures-hazardous-energy-control-lockout-tagout-scorm12-berhmiwr.zip,Safety,,Foundational,,LOTO Procedures,Safety,Lockout / Tagout,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Lockout Tagout Procedures - Return To Service Procedures,lockout-tagout-procedures-return-to-service-procedures-scorm12-_dkqhcuy.zip,Safety,,Foundational,,LOTO Procedures,Safety,Lockout / Tagout,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Lockout Tagout Procedures - Simple Lockout-Tagout Procedures,lockout-tagout-procedures-simple-lockout-tagout-procedures-scorm12-rj5zpfvf.zip,Safety,,Foundational,,LOTO Procedures,Safety,Lockout / Tagout,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Lockout Tagout Procedures - Verifying a De-Energized Condition,lockout-tagout-procedures-verifying-a-de-energized-condition-scorm12-ukdghbg_.zip,Safety,,Foundational,,LOTO Procedures,Safety,Lockout / Tagout,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Simple Lockout-Tagout Procedures,b792b1d9-a94f-49d5-ac01-4a211024faa0.zip,Safety,,Foundational,,LOTO Procedures,Safety,Lockout / Tagout,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Introduction to planning and Controlling Hazards - T.R.A.C.K.,c1fd58d5-f841-41c0-b15d-5e00a8415db9.zip,Safety,Personal Safety,Foundational,,Personal Safety,Safety,Hazard Communication,Foundational,Safety; Planning,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
"Preventing Slips, Trips and Falls",35b692b7-23d3-4329-b781-9aa96ae455e8.zip,Safety,Personal Safety,Foundational,,Personal Safety,Safety,"Slips, Trips, & Falls",Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
OSHA’s Focus Four Workplace Hazards,osh-as-focus-four-workplace-hazards-scorm12-_eefrmuc.zip,Safety,Personal Safety,Foundational,,Personal Safety,Safety,,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; Safety; Superintendents,General Superintendent; Other/Specialized; Project Management,
Safety Coordinator - 4.0 Task Training,safety-coordinator-4-0-task-training-scorm12-1lqdglp (1).zip,Safety,Project Safety,Foundational,,Compliance & Enforcement,Safety,,Foundational,Safety,,,Field Leadership; Safety; Superintendents,General Superintendent; Project Management,
Safety Coordinator - 5.0 Safety Meetings,safety-coordinator-5-0-safety-meetings-scorm12--kplybaq.zip,Safety,Project Safety,Foundational,,Compliance & Enforcement,Safety,,Foundational,Safety,,,Field Leadership; Safety; Superintendents,General Superintendent; Project Management,
